fold,roc_auc,pr_auc,n_patients,n_asthma
1,0.6535654126895002,0.16660882479665676,150,13
2,0.6063348416289593,0.12507322682658478,149,13
3,0.7064075630252101,0.16763726054572256,150,14
4,0.7396593673965937,0.23250186750148621,149,12
5,0.5285714285714286,0.10814628585592972,149,14
