fold,roc_auc,pr_auc,recall@0.5,n_patients,n_pos
1,0.7024143739472207,0.2325821633439047,0.0,150,13
2,0.670814479638009,0.16713586030073047,0.0,149,13
3,0.7121848739495799,0.26605056899955337,0.0,150,14
4,0.7585158150851582,0.1704652245800899,0.0,149,12
5,0.6158730158730159,0.13403701020608383,0.0,149,14
