model,accuracy,precision_macro,recall_macro,f1_macro,precision_asthma,recall_asthma,f1_asthma,roc_auc,pr_auc,brier,cv_roc_auc_mean,cv_roc_auc_std
Logistic Regression,0.8609794628751974,0.7110251998785548,0.7930131249824344,0.7397799733725737,0.46887966804979253,0.7018633540372671,0.5621890547263682,0.8766926168460697,0.6715992905141362,0.11267699286206767,0.8714506657923128,0.013202414565581796
Stacking Ensemble,0.8751974723538705,0.729948689081816,0.7985048199881959,0.7564495312309752,0.5067873303167421,0.6956521739130435,0.5863874345549738,0.8698125404007756,0.6585077875707194,0.11645737717229668,0.8691808782279349,0.01184770033274917
XGBoost,0.8988941548183255,0.7714692571995707,0.7828953655040611,0.7769961192304516,0.5976331360946746,0.6273291925465838,0.6121212121212121,0.8581939799331104,0.6423044876595094,0.08566047996282578,0.8531828348735871,0.010122654282887344
Random Forest,0.9004739336492891,0.7764268032829255,0.7705348360079818,0.7734315078999847,0.6114649681528662,0.5962732919254659,0.6037735849056604,0.8693347573142969,0.6381333327629038,0.10204966158967288,0.8690346593798814,0.011442845532483445
LightGBM,0.8878357030015798,0.7476407914764079,0.760641915629128,0.7538718510405258,0.5555555555555556,0.5900621118012422,0.572289156626506,0.8501053933278997,0.6265681796997882,0.08785976581132131,0.8425289105067485,0.011169169537445182
SVM (RBF),0.9091627172195893,0.8143553223388306,0.7357156909586577,0.766919881210627,0.6982758620689655,0.5031055900621118,0.5848375451263538,0.845462465922824,0.5967006101968048,0.07276866974788418,0.8482780485053357,0.013336420723494884
