fold,roc_auc,pr_auc,recall@0.5,f1@0.5,brier,n_test,n_pos
1,0.6607934277375418,0.1322789847958626,0.011494252873563218,0.020833333333333332,0.08067671679963197,1044,87
2,0.6585269080940701,0.13885072067615328,0.034482758620689655,0.056074766355140186,0.08262629226107884,1043,87
3,0.692805271004665,0.1912135967411499,0.0,0.0,0.07387341166823953,1043,87
4,0.7736993025685888,0.1810661792928106,0.011627906976744186,0.02247191011235955,0.07293673160465841,1043,86
5,0.5561487038907325,0.09131706863408719,0.0,0.0,0.0834966644867741,1043,87
