fold,roc_auc,pr_auc,recall@0.5,n_patients,n_pos
1,0.7742841100505334,0.19731348119324787,0.0,150,13
2,0.7036199095022625,0.21737148385474925,0.0,149,13
3,0.7148109243697479,0.2574968015810863,0.0,150,14
4,0.801094890510949,0.3193328598227264,0.0,149,12
5,0.5333333333333333,0.11864714264045842,0.0,149,14
