fold,roc_auc,pr_auc,recall@0.5,f1@0.5,brier,n_test,n_pos
1,0.7343350268439448,0.16736660949680388,0.0,0.0,0.07333994943110594,1044,87
2,0.7356802770163036,0.20311160330246492,0.011494252873563218,0.022727272727272728,0.07219439805920067,1043,87
3,0.6825975087769922,0.15824221794565516,0.0,0.0,0.07428286965881375,1043,87
4,0.7859711793152051,0.2956467378106554,0.0,0.0,0.06859757963674168,1043,86
5,0.5473115952484009,0.09489358152857175,0.0,0.0,0.0827589645071584,1043,87
